City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
226,Adwa,ET,75.47,few clouds,14.1646,38.8955,Maay Assa Hotel
229,Kashan,IR,78.6,clear sky,33.9831,51.4364,Manouchehri Traditional House
232,Khuzdar,PK,89.76,overcast clouds,27.7384,66.6434,jhalwan Rent A Car Moola Chotok Boking Office
241,Cockburn Town,TC,79.52,clear sky,21.4612,-71.1419,Osprey Beach Hotel
245,Kimbe,PG,81.81,light rain,-5.5502,150.1429,Kimbe Bay Hotel
248,Sambava,MG,80.44,broken clouds,-14.2667,50.1667,Melrose
256,Lazaro Cardenas,MX,79.0,overcast clouds,17.9583,-102.2,Hotel Quinta Antigua
258,Kefamenanu,ID,79.84,scattered clouds,-9.4467,124.4781,Sokowindo Losmen
259,Zhuhai,CN,89.6,few clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
269,Panama City,PA,79.0,overcast clouds,8.9936,-79.5197,Hotel Riande Granada Urban
271,Abu Kamal,SY,84.7,clear sky,34.4506,40.9171,محطة التلفاز
276,Hecun,CN,78.3,overcast clouds,36.5333,114.1111,Yijia Hotel
282,Black River,JM,78.8,few clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
287,Mareeba,AU,82.4,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
296,Ballina,AU,75.2,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
303,Dhidhdhoo,MV,84.24,overcast clouds,6.8833,73.1,Dhidhoo beach
305,Port Moresby,PG,84.2,haze,-9.4431,147.1797,Lamana Hotel
309,Ishigaki,JP,86.0,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
311,Tabou,CI,80.37,overcast clouds,4.423,-7.3528,hotêl doufoulougou
315,Bathsheba,BB,78.22,few clouds,13.2167,-59.5167,Atlantis Hotel
324,Yulara,AU,75.2,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
327,Adrar,MR,79.41,clear sky,20.5022,-10.0711,
330,Salinopolis,BR,76.3,moderate rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
331,Souillac,MU,82.4,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
334,San Nicolas,PH,87.8,scattered clouds,18.1725,120.5953,NORTHVIEW Hotel
341,Jalu,LY,80.94,clear sky,29.0331,21.5482,صاحبة الفخامة
346,Akdepe,TM,87.8,clear sky,42.0551,59.3788,Мой дом
350,Lamu,KE,82.62,overcast clouds,-2.2717,40.902,Lamu House
352,Umm Kaddadah,SD,85.55,few clouds,13.6017,26.6876,
359,Sungaipenuh,ID,76.19,overcast clouds,-2.0833,101.3833,Hotel Jaya Wisata 2
361,Kutum,SD,82.36,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
362,Jiaojiang,CN,77.0,light rain,28.6803,121.4428,Jiaojiang Hotel
370,Buala,SB,81.16,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
375,Wewak,PG,82.06,moderate rain,-3.5534,143.6268,In Wewak Boutique Hotel
376,Paredon,MX,82.51,few clouds,16.0333,-93.8667,Hotel Principal Paredon
380,Liancheng,CN,89.62,few clouds,24.0519,105.075,Kexiang Hotel
384,Barra Patuca,HN,77.97,scattered clouds,15.8,-84.2833,
385,Tanga,TZ,79.65,overcast clouds,-5.0667,39.1,Lulu Image Hotel
387,Kandrian,PG,82.76,light rain,-6.2167,149.55,Kandrian Station
388,Poso,ID,84.79,broken clouds,-1.3959,120.7524,Hotel 77 Poso
398,Bengkulu,ID,83.77,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
399,Omboue,GA,80.11,overcast clouds,-1.5746,9.2618,Hotel Olako
400,Port Blair,IN,89.6,scattered clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
401,Pasni,PK,87.19,clear sky,25.2631,63.471000000000004,Kashmiri Hotal
404,Dwarka,IN,87.13,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
408,Gat,IL,77.0,clear sky,31.61,34.7642,OlusHome
409,Juarez,MX,80.6,few clouds,31.7333,-106.4833,Hotel Santa Fe
411,Bara,NG,81.45,overcast clouds,10.3744,10.7288,
416,La Asuncion,VE,78.8,clear sky,11.0333,-63.8628,Colinas de Matasiete
418,Imamoglu,TR,78.8,clear sky,37.2651,35.6572,İSAK TATAR
430,Cap Malheureux,MU,78.01,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
431,Awjilah,LY,81.0,clear sky,29.1081,21.2869,
433,Laureles,US,80.6,overcast clouds,26.1092,-97.4941,Los Fresnos Inn
434,Grand Gaube,MU,78.01,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
436,Zhangye,CN,82.0,overcast clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
437,Xuddur,SO,83.25,broken clouds,4.1213,43.8894,Banjanay Hotel
438,Korla,CN,86.9,broken clouds,41.7597,86.1469,Gulisitan Hotel
439,Chateaubelair,VC,80.6,few clouds,13.2833,-61.25,Richmond Vale Diving & Hiking Center
443,Marawi,PH,75.36,heavy intensity rain,7.9986,124.2928,Derogongan Residence
445,Mombasa,KE,80.6,broken clouds,-4.0547,39.6636,New Palm Tree Hotel
446,Madinat Sittah Uktubar,EG,75.0,scattered clouds,29.8167,31.05,Happy Kennel Academy
448,Bafilo,TG,75.2,clear sky,9.35,1.2667,Hôtel Assoli
449,Lahad Datu,MY,84.11,moderate rain,5.0268,118.32700000000001,The 27th House
454,Toamasina,MG,78.8,broken clouds,-18.1667,49.3833,Hotel H1
456,Meulaboh,ID,84.96,overcast clouds,4.1363,96.1285,Kost Pria
459,High Rock,BS,78.8,few clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
463,Kavieng,PG,82.51,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
464,Kaduqli,SD,82.42,overcast clouds,11.0167,29.7167,فندق الله جابو
465,Honiara,SB,80.44,overcast clouds,-9.4333,159.95,Heritage Park Hotel
475,Hengyang,CN,81.64,broken clouds,26.8881,112.615,Honglin Guesthouse
476,Dalby,AU,77.0,scattered clouds,-27.1833,151.2667,Kobbers Motor Inn Dalby
477,Tautira,PF,80.6,broken clouds,-17.7333,-149.15,Pension Oaoa
484,Boa Vista,BR,77.0,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
489,Isangel,VU,80.6,broken clouds,-19.55,169.2667,Tanna Lodge
492,Antalaha,MG,81.23,broken clouds,-14.9003,50.2788,Hotel Vitasoa
499,Sangin,AF,87.94,clear sky,32.0728,64.8359,
506,Celestun,MX,80.47,clear sky,20.8667,-90.4,Posada Lilia
512,Bosaso,SO,88.45,overcast clouds,11.2842,49.1816,Red Sea Hotel
513,Barra Dos Coqueiros,BR,78.8,broken clouds,-10.9089,-37.0386,Jangadeiro
523,Qujing,CN,83.17,broken clouds,25.4833,103.7833,Yulong Hotel
524,Sinnamary,GF,76.73,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
525,Ipixuna,BR,75.2,mist,-1.7625,-48.8043,Casa da Oscarina
530,Maunabo,PR,79.0,overcast clouds,18.0072,-65.8993,Maunacaribe
542,Davila,PH,87.8,scattered clouds,18.4726,120.5763,Blue Ridge Beach Resort
544,Cairns,AU,82.4,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
551,Sokoni,TZ,80.6,scattered clouds,-6.4333,39.55,Ujamaa Beach Resort
559,Pandan,PH,85.84,overcast clouds,14.0453,124.1694,Bonifacio Lodge
563,Salalah,OM,87.8,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
566,Axim,GH,80.47,broken clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
569,Tiarei,PF,80.6,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
570,Bayshore Gardens,US,78.01,scattered clouds,27.4253,-82.5904,Ramada by Wyndham Sarasota Waterfront
572,Zhengjiatun,CN,75.78,overcast clouds,43.5064,123.5064,Siping Hexiang Hotel
574,Kudahuvadhoo,MV,83.23,heavy intensity rain,2.6708,72.8944,Niyama Private Islands Maldives
579,Dongsheng,CN,78.66,overcast clouds,39.8161,109.9776,Crowne Plaza Ordos
586,Suluq,LY,77.67,clear sky,31.6682,20.2521,منزل عبدالواحد خليفة الفاخري
595,Banda Aceh,ID,84.7,broken clouds,5.5577,95.3222,Sulthan Hotel International
599,Maumere,ID,83.59,scattered clouds,-8.6199,122.2111,Sylvia Hotel
601,Soyo,AO,78.8,scattered clouds,-6.1349,12.3689,Hotel Mpampa
606,Mashhad,IR,77.0,broken clouds,36.297,59.6062,Khanye Sabz Hotel
609,Am Timan,TD,87.28,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
614,Coahuayana,MX,76.6,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
615,Yokadouma,CM,76.46,broken clouds,3.5167,15.05,Hôtel De Ville De Yokadouma
618,Abonnema,NG,80.94,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
619,Danjiangkou,CN,83.91,broken clouds,32.5428,111.5086,Dongsheng Guesthouse
623,Yeppoon,AU,82.4,broken clouds,-23.1333,150.7333,Villa Mar Colina
625,Iberia,US,77.0,mist,29.9502,-91.7507,back to back rv park
627,Langsa,ID,87.78,overcast clouds,4.4683,97.9683,OYO 2964 Hotel Ridho
630,Bima,ID,87.73,scattered clouds,-8.4667,118.7167,Lambitu Hotel
632,Saint-Louis,SN,78.8,clear sky,16.3333,-15.0,
637,Bensonville,LR,75.2,broken clouds,6.4461,-10.6125,
640,Cotonou,BJ,80.6,scattered clouds,6.3654,2.4183,Novotel Cotonou Orisha
646,Rock Sound,BS,78.84,clear sky,24.9,-76.2,Rock Sound Club
647,Hasanabad,IR,78.8,clear sky,36.5465,61.0543,
651,Padang,ID,86.0,scattered clouds,-0.9492,100.3543,Mercure Padang
654,Ushtobe,KZ,77.63,broken clouds,45.2514,77.9838,"Gostinitsa ""Diyar"""
655,Waddan,LY,85.19,clear sky,29.1614,16.139,محل الشريف محمد العايب
662,Ambon,ID,87.8,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
666,Tieling,CN,77.2,overcast clouds,42.2931,123.8414,Tieling 99 Yuejia Business Guest House
676,Atambua,ID,81.01,clear sky,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
685,Katobu,ID,85.93,overcast clouds,-4.9408,122.5276,La Ode Husein
