City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
112,Saint-Pierre,RE,2021-05-11 06:53:45,-21.3393,55.4781,80.6,65,0,8.05,clear sky
113,Henties Bay,NA,2021-05-11 06:53:45,-22.116,14.2845,76.73,28,0,14.76,clear sky
114,Yumen,CN,2021-05-11 06:53:46,40.2833,97.2,82.44,9,6,12.55,clear sky
115,Birnin Kebbi,NG,2021-05-11 06:50:02,12.4539,4.1975,88.52,39,87,7.16,overcast clouds
116,Centralia,US,2021-05-11 06:53:46,46.7162,-122.9543,48.2,93,1,2.33,clear sky
117,Georgetown,MY,2021-05-11 06:53:46,5.4112,100.3354,89.6,74,20,5.75,few clouds
118,La Ronge,CA,2021-05-11 06:53:47,55.1001,-105.2842,50.0,29,97,4.61,overcast clouds
119,Castro,BR,2021-05-11 06:53:47,-24.7911,-50.0119,52.27,74,7,2.04,clear sky
120,Booue,GA,2021-05-11 06:53:47,-0.0921,11.9385,79.3,80,82,0.56,broken clouds
121,Ostrovnoy,RU,2021-05-11 06:53:47,68.0531,39.5131,39.42,90,97,4.63,overcast clouds
122,Itanhem,BR,2021-05-11 06:53:08,-17.1664,-40.33,63.52,88,51,3.42,broken clouds
123,Atar,MR,2021-05-11 06:53:48,20.5169,-13.0499,79.0,23,0,14.07,clear sky
124,Kruisfontein,ZA,2021-05-11 06:53:48,-34.0033,24.7314,62.08,72,0,5.99,clear sky
125,Vila Velha,BR,2021-05-11 06:53:49,-20.3297,-40.2925,68.0,88,0,3.44,clear sky
126,Whitley Bay,GB,2021-05-11 06:53:49,55.0397,-1.4471,50.0,76,20,4.61,few clouds
127,Arraial Do Cabo,BR,2021-05-11 06:53:49,-22.9661,-42.0278,67.68,73,0,14.63,clear sky
128,Baiyin,CN,2021-05-11 06:53:50,36.5583,104.2081,73.4,21,40,4.47,scattered clouds
129,San Cristobal,VE,2021-05-11 06:53:50,7.7669,-72.225,63.37,94,24,3.58,few clouds
130,Boddam,GB,2021-05-11 06:53:50,57.4667,-1.7833,50.0,76,75,16.11,broken clouds
131,Santona,ES,2021-05-11 06:53:50,43.4439,-3.4576,53.01,71,20,6.91,few clouds
132,San Patricio,US,2021-05-11 06:53:51,28.017,-97.5169,82.4,100,90,5.75,moderate rain
133,Jamestown,US,2021-05-11 06:53:51,42.097,-79.2353,39.2,87,1,4.61,clear sky
134,Taoudenni,ML,2021-05-11 06:53:51,22.6783,-3.9836,87.78,13,0,6.02,clear sky
135,Copala,MX,2021-05-11 06:53:52,16.65,-98.9833,80.67,77,83,1.88,broken clouds
136,Esperance,AU,2021-05-11 06:53:52,-33.8667,121.9,68.0,68,40,13.8,scattered clouds
137,Lockport,US,2021-05-11 06:53:52,41.5895,-88.0578,44.01,75,90,4.61,overcast clouds
138,Faanui,PF,2021-05-11 06:53:52,-16.4833,-151.75,82.22,76,100,19.55,overcast clouds
139,Kampong Thum,KH,2021-05-11 06:53:53,12.7111,104.8887,96.75,42,100,5.44,overcast clouds
140,Yerofey Pavlovich,RU,2021-05-11 06:53:53,53.9667,121.9667,39.56,95,100,3.87,light rain
141,Saku,JP,2021-05-11 06:53:53,36.2167,138.4833,57.0,52,100,1.99,light rain
142,Bambous Virieux,MU,2021-05-11 06:53:54,-20.3428,57.7575,82.4,65,40,14.97,scattered clouds
143,Oranjemund,NA,2021-05-11 06:53:54,-28.55,16.4333,69.87,42,0,0.81,clear sky
144,Tasiilaq,GL,2021-05-11 06:53:54,65.6145,-37.6368,24.8,93,75,5.75,light snow
145,Ugoofaaru,MV,2021-05-11 06:53:55,5.6667,73.0,82.11,82,100,16.75,moderate rain
146,Vestmannaeyjar,IS,2021-05-11 06:53:55,63.4427,-20.2734,37.9,58,12,4.92,few clouds
147,Cherskiy,RU,2021-05-11 06:53:55,68.75,161.3,27.81,84,87,5.28,overcast clouds
148,Vanimo,PG,2021-05-11 06:53:56,-2.6741,141.3028,81.09,83,100,7.63,overcast clouds
149,Mount Isa,AU,2021-05-11 06:53:56,-20.7333,139.5,82.4,23,0,10.36,clear sky
150,Aksu,CN,2021-05-11 06:53:56,41.1231,80.2644,86.83,15,53,2.66,broken clouds
151,Hithadhoo,MV,2021-05-11 06:53:57,-0.6,73.0833,83.21,75,32,7.14,moderate rain
152,Khatanga,RU,2021-05-11 06:53:57,71.9667,102.5,31.78,86,40,11.63,scattered clouds
153,Ouesso,CG,2021-05-11 06:53:57,1.6136,16.0517,74.75,87,93,1.81,overcast clouds
154,Hanko,FI,2021-05-11 06:53:58,59.8333,22.95,44.91,93,100,20.76,overcast clouds
155,Cam Ranh,VN,2021-05-11 06:53:58,11.9214,109.1591,89.6,62,20,11.5,few clouds
156,Hambantota,LK,2021-05-11 06:53:58,6.1241,81.1185,87.8,79,75,4.61,broken clouds
157,Provideniya,RU,2021-05-11 06:53:59,64.3833,-173.3,35.6,80,90,15.66,light snow
158,Sorong,ID,2021-05-11 06:53:59,-0.8833,131.25,87.51,65,13,9.35,moderate rain
159,Ribeira Grande,PT,2021-05-11 06:53:59,38.5167,-28.7,62.6,82,75,8.05,broken clouds
160,Luxor,EG,2021-05-11 06:51:25,25.6989,32.6421,86.0,48,0,5.75,clear sky
161,Puerto Escondido,MX,2021-05-11 06:53:59,15.85,-97.0667,82.02,76,99,2.89,overcast clouds
162,Chuy,UY,2021-05-11 06:54:00,-33.6971,-53.4616,48.81,76,59,8.21,broken clouds
163,Bubaque,GW,2021-05-11 06:54:00,11.2833,-15.8333,74.79,77,70,8.32,broken clouds
164,Marshalltown,US,2021-05-11 06:54:00,42.0494,-92.908,43.0,87,1,8.05,clear sky
165,Pangody,RU,2021-05-11 06:54:01,65.85,74.4859,45.95,86,100,8.57,overcast clouds
166,Rocha,UY,2021-05-11 06:54:01,-34.4833,-54.3333,46.83,73,0,7.87,clear sky
167,Samarai,PG,2021-05-11 06:54:01,-10.6167,150.6667,81.61,79,100,8.57,overcast clouds
168,Dikson,RU,2021-05-11 06:54:02,73.5069,80.5464,32.23,90,100,14.43,overcast clouds
169,Mount Gambier,AU,2021-05-11 06:54:02,-37.8333,140.7667,55.4,67,90,11.5,overcast clouds
170,Yar-Sale,RU,2021-05-11 06:54:02,66.8333,70.8333,34.07,99,100,4.76,overcast clouds
171,Mezhdurechensk,RU,2021-05-11 06:54:03,53.6942,88.0603,63.46,31,100,4.03,overcast clouds
172,Andenes,NO,2021-05-11 06:54:03,69.3143,16.1194,41.0,81,20,21.85,few clouds
173,Kloulklubed,PW,2021-05-11 06:54:03,7.0419,134.2556,86.0,74,75,9.22,broken clouds
174,Bilma,NE,2021-05-11 06:54:05,18.6853,12.9164,94.51,7,4,6.93,clear sky
175,Touros,BR,2021-05-11 06:54:05,-5.1989,-35.4608,73.4,94,0,4.61,clear sky
176,Laguna,US,2021-05-11 06:54:05,38.421,-121.4238,71.6,28,1,6.91,clear sky
177,Liberal,US,2021-05-11 06:54:06,37.0431,-100.921,46.4,93,75,14.97,broken clouds
178,Mackay,AU,2021-05-11 06:54:06,-21.15,149.2,78.01,83,39,9.22,light rain
179,Orlik,RU,2021-05-11 06:54:06,52.5178,99.825,47.32,32,50,2.46,scattered clouds
180,Cayenne,GF,2021-05-11 06:54:07,4.9333,-52.3333,79.0,100,90,1.14,moderate rain
181,Nagato,JP,2021-05-11 06:54:07,34.3833,131.2,71.6,46,90,6.91,moderate rain
182,Along,IN,2021-05-11 06:54:07,28.1667,94.7667,78.17,76,70,1.99,broken clouds
183,Vicosa Do Ceara,BR,2021-05-11 06:53:05,-3.5622,-41.0922,64.36,89,6,4.47,clear sky
184,Obo,CF,2021-05-11 06:54:08,5.3998,26.4869,71.98,89,100,3.58,overcast clouds
